iter	Passed	Remaining
0	3	356
1	7	346
2	14	476
3	17	424
4	20	393
5	23	373
6	31	422
7	35	403
8	37	380
9	39	359
10	43	350
11	45	332
12	46	314
13	48	297
14	50	283
15	51	270
16	53	261
17	56	258
18	58	248
19	59	238
20	60	228
21	62	220
22	63	212
23	64	204
24	65	197
25	67	191
26	68	185
27	69	178
28	71	174
29	72	168
30	73	163
31	74	158
32	75	154
33	77	149
34	78	145
35	79	141
36	80	137
37	81	133
38	84	131
39	85	127
40	86	124
41	86	120
42	88	116
43	89	113
44	90	110
45	91	107
46	93	104
47	94	101
48	95	99
49	97	97
50	98	94
51	99	91
52	100	89
53	101	86
54	102	84
55	103	81
56	105	79
57	106	76
58	107	74
59	108	72
60	112	71
61	113	69
62	114	67
63	115	65
64	116	62
65	117	60
66	119	58
67	120	56
68	121	54
69	123	52
70	124	50
71	128	49
72	129	47
73	131	46
74	132	44
75	134	42
76	135	40
77	136	38
78	137	36
79	141	35
80	143	33
81	144	31
82	146	29
83	147	28
84	148	26
85	149	24
86	151	22
87	152	20
88	153	18
89	156	17
90	157	15
91	159	13
92	160	12
93	161	10
94	162	8
95	163	6
96	165	5
97	166	3
98	167	1
99	170	0
