iter	Passed	Remaining
0	231	230803
1	232	115801
2	232	77417
3	233	58209
4	234	46728
5	235	39039
6	236	33548
7	238	29586
8	239	26398
9	240	23838
10	241	21734
11	242	19989
12	243	18519
13	244	17241
14	245	16132
15	246	15160
16	247	14302
17	248	13540
18	249	12857
19	249	12243
20	250	11686
21	252	11230
22	253	10769
23	254	10343
24	255	9951
25	255	9588
26	256	9258
27	257	8947
28	258	8657
29	259	8386
30	260	8133
31	261	7895
32	261	7673
33	262	7463
34	263	7265
35	264	7078
36	265	6901
37	266	6759
38	267	6601
39	268	6449
40	269	6304
41	270	6168
42	271	6038
43	272	5912
44	272	5793
45	273	5678
46	274	5568
47	275	5464
48	276	5364
49	277	5268
50	278	5174
51	278	5085
52	280	5015
53	281	4932
54	282	4852
55	283	4776
56	284	4701
57	285	4629
58	285	4558
59	286	4490
60	287	4424
61	288	4361
62	289	4300
63	289	4240
64	290	4183
65	291	4127
66	292	4072
67	293	4019
68	294	3968
69	295	3929
70	296	3881
71	297	3835
72	298	3789
73	299	3744
74	300	3701
75	300	3659
76	301	3617
77	302	3576
78	303	3537
79	304	3498
80	304	3460
81	305	3423
82	306	3383
83	307	3348
84	307	3314
85	308	3280
86	310	3259
87	312	3236
88	313	3209
89	314	3181
90	315	3154
91	316	3127
92	317	3100
93	318	3073
94	319	3047
95	320	3022
96	321	2997
97	324	2983
98	325	2958
99	326	2934
100	327	2910
101	328	2888
102	329	2866
103	330	2843
104	331	2822
105	332	2800
106	333	2780
107	334	2759
108	335	2739
109	336	2721
110	338	2714
111	340	2696
112	341	2677
113	342	2658
114	343	2640
115	343	2621
116	344	2600
117	345	2581
118	346	2563
119	346	2544
120	347	2526
121	348	2507
122	349	2490
123	350	2473
124	350	2456
125	351	2439
126	353	2430
127	354	2415
128	355	2400
129	356	2384
130	357	2369
131	357	2354
132	358	2338
133	359	2324
134	360	2309
135	361	2295
136	362	2280
137	362	2266
138	364	2254
139	365	2242
140	365	2229
141	366	2214
142	367	2201
143	368	2188
144	369	2175
145	369	2163
146	370	2150
147	371	2139
148	372	2127
149	373	2115
150	374	2103
151	374	2092
152	376	2086
153	377	2075
154	378	2064
155	379	2053
156	380	2042
157	381	2031
158	381	2020
159	382	2009
160	383	1997
161	384	1986
162	384	1976
163	385	1966
164	386	1956
165	387	1946
166	388	1936
167	389	1926
168	389	1916
169	391	1913
170	392	1903
171	393	1894
172	394	1885
173	395	1876
174	396	1866
175	396	1858
176	397	1849
177	398	1840
178	399	1832
179	400	1823
180	401	1814
181	401	1806
182	402	1797
183	403	1789
184	404	1781
185	405	1776
186	407	1769
187	408	1762
188	409	1755
189	409	1747
190	410	1740
191	412	1734
192	412	1726
193	413	1718
194	414	1710
195	415	1703
196	416	1696
197	416	1688
198	417	1681
199	418	1673
200	419	1666
201	421	1663
202	422	1657
203	422	1650
204	423	1643
205	424	1636
206	425	1629
207	426	1622
208	426	1615
209	427	1609
210	428	1602
211	429	1596
212	430	1589
213	431	1583
214	431	1577
215	432	1570
216	433	1564
217	434	1558
218	436	1555
219	436	1549
220	437	1543
221	438	1537
222	439	1531
223	440	1525
224	441	1519
225	441	1513
226	442	1507
227	443	1501
228	444	1496
229	445	1490
230	446	1485
231	446	1479
232	447	1474
233	448	1468
234	450	1466
235	451	1461
236	452	1455
237	453	1450
238	453	1445
239	454	1439
240	455	1434
241	456	1429
242	457	1423
243	457	1418
244	458	1413
245	459	1408
246	460	1403
247	461	1398
248	461	1393
249	462	1388
250	463	1383
251	465	1381
252	466	1376
253	467	1372
254	468	1367
255	468	1362
256	469	1357
257	470	1353
258	471	1348
259	472	1343
260	472	1338
261	473	1334
262	474	1329
263	475	1325
264	476	1320
265	476	1316
266	477	1311
267	478	1307
268	480	1305
269	481	1301
270	482	1296
271	482	1292
272	483	1288
273	484	1283
274	485	1279
275	486	1275
276	487	1271
277	487	1267
278	488	1263
279	489	1259
280	490	1254
281	491	1250
282	492	1246
283	492	1242
284	494	1241
285	495	1237
286	496	1233
287	497	1229
288	498	1225
289	499	1221
290	499	1218
291	500	1214
292	501	1210
293	502	1206
294	503	1202
295	504	1198
296	504	1194
297	505	1191
298	506	1187
299	507	1183
300	508	1180
301	510	1179
302	511	1175
303	512	1172
304	513	1169
305	514	1165
306	515	1162
307	516	1159
308	516	1155
309	517	1152
310	518	1148
311	519	1145
312	520	1141
313	520	1138
314	521	1134
315	522	1131
316	524	1129
317	525	1126
318	526	1123
319	527	1119
320	527	1116
321	528	1113
322	529	1109
323	530	1106
324	531	1103
325	532	1100
326	533	1097
327	533	1093
328	534	1090
329	535	1087
330	536	1083
331	537	1080
332	537	1077
333	539	1076
334	540	1072
335	541	1069
336	542	1066
337	543	1063
338	543	1060
339	544	1057
340	545	1054
341	546	1051
342	547	1047
343	547	1044
344	548	1041
345	549	1038
346	550	1035
347	551	1032
348	551	1029
349	553	1027
350	554	1025
351	555	1022
352	556	1019
353	556	1016
354	557	1013
355	558	1010
356	559	1007
357	560	1004
358	560	1001
359	561	998
360	562	995
361	563	992
362	564	990
363	564	987
364	565	984
365	566	981
366	567	979
367	568	977
368	569	974
369	570	971
370	571	968
371	572	966
372	573	963
373	573	960
374	574	957
375	575	955
376	576	952
377	577	950
378	578	947
379	579	945
380	580	942
381	580	939
382	581	937
383	583	936
384	584	933
385	585	931
386	586	929
387	587	926
388	588	924
389	589	921
390	590	919
391	591	916
392	592	914
393	592	911
394	593	909
395	594	906
396	595	903
397	595	901
398	598	901
399	599	899
400	600	897
401	601	895
402	602	893
403	604	891
404	605	888
405	606	886
406	606	884
407	607	882
408	608	879
409	609	877
410	610	875
411	612	874
412	613	872
413	614	869
414	615	867
415	616	865
416	617	862
417	617	860
418	618	858
419	619	855
420	620	853
421	621	850
422	622	848
423	622	846
424	623	843
425	624	841
426	625	839
427	626	837
428	627	835
429	628	833
430	629	831
431	630	828
432	631	826
433	632	824
434	632	822
435	633	819
436	634	817
437	635	815
438	636	812
439	636	810
440	637	808
441	638	806
442	639	803
443	640	801
444	641	800
445	642	798
446	643	796
447	644	794
448	645	792
449	646	789
450	647	787
451	647	785
452	648	783
453	649	781
454	650	778
455	651	776
456	651	774
457	652	772
458	653	770
459	654	768
460	655	765
461	656	764
462	657	762
463	658	760
464	659	758
465	660	757
466	661	755
467	662	753
468	663	751
469	664	749
470	665	746
471	665	745
472	666	743
473	667	741
474	668	739
475	669	737
476	671	736
477	672	734
478	673	733
479	674	731
480	675	729
481	676	727
482	677	725
483	678	723
484	679	721
485	680	719
486	680	717
487	681	715
488	682	713
489	683	711
490	684	709
491	684	707
492	686	706
493	687	704
494	688	702
495	689	700
496	690	699
497	691	697
498	692	695
499	693	693
500	694	691
501	695	689
502	696	687
503	696	685
504	697	683
505	698	681
506	699	680
507	700	678
508	701	677
509	702	675
510	703	673
511	704	671
512	705	669
513	706	667
514	707	665
515	707	664
516	708	662
517	709	660
518	710	658
519	711	656
520	711	654
521	712	652
522	713	650
523	714	648
524	716	647
525	717	646
526	717	644
527	718	642
528	719	640
529	720	638
530	721	637
531	722	635
532	722	633
533	723	631
534	724	629
535	725	627
536	726	626
537	727	624
538	727	622
539	728	620
540	729	618
541	731	617
542	732	616
543	733	614
544	734	612
545	734	611
546	735	609
547	736	607
548	737	605
549	738	603
550	738	602
551	739	600
552	740	598
553	741	596
554	742	595
555	742	593
556	743	591
557	745	590
558	746	588
559	747	587
560	748	585
561	748	583
562	749	581
563	750	580
564	751	578
565	752	576
566	752	575
567	753	573
568	754	571
569	755	569
570	756	568
571	756	566
572	757	564
573	758	563
574	760	562
575	761	560
576	762	558
577	763	557
578	763	555
579	764	553
580	765	552
581	766	550
582	767	548
583	768	547
584	768	545
585	769	543
586	770	542
587	771	540
588	772	538
589	772	537
590	773	535
591	775	534
592	776	533
593	777	531
594	778	529
595	779	528
596	780	526
597	780	524
598	781	523
599	782	521
600	783	519
601	783	518
602	784	516
603	785	515
604	786	513
605	787	511
606	788	510
607	789	508
608	790	507
609	791	506
610	792	504
611	793	503
612	794	501
613	796	500
614	796	498
615	797	497
616	798	495
617	799	494
618	800	492
619	800	490
620	801	489
621	802	487
622	803	486
623	805	485
624	806	483
625	806	482
626	807	480
627	808	478
628	809	477
629	811	476
630	812	474
631	812	473
632	813	471
633	814	470
634	815	468
635	816	467
636	817	465
637	817	464
638	819	462
639	820	461
640	821	459
641	822	458
642	822	456
643	823	455
644	824	453
645	825	452
646	826	450
647	826	449
648	827	447
649	828	446
650	829	444
651	830	443
652	830	441
653	831	440
654	832	438
655	833	437
656	834	435
657	835	434
658	836	432
659	837	431
660	838	429
661	838	428
662	839	426
663	840	425
664	841	423
665	842	422
666	843	420
667	843	419
668	844	417
669	845	416
670	846	415
671	847	413
672	849	412
673	849	411
674	850	409
675	851	408
676	852	406
677	853	405
678	854	403
679	854	402
680	855	400
681	856	399
682	857	397
683	858	396
684	859	395
685	859	393
686	860	392
687	861	390
688	862	389
689	864	388
690	865	386
691	866	385
692	866	384
693	867	382
694	868	381
695	869	379
696	870	378
697	870	376
698	871	375
699	872	373
700	873	372
701	874	371
702	874	369
703	875	368
704	876	366
